usuarioId,filmeId,nota
1,919,5.0
1,2761,5.0
1,3740,4.0
1,2054,4.0
1,3729,5.0
1,349,4.0
1,648,3.0
1,2450,4.0
1,736,3.0
1,2528,3.0
1,2797,4.0
1,235,4.0
1,157,5.0
1,3033,5.0
1,2916,4.0
1,1214,4.0
1,3702,5.0
1,2099,4.0
1,3744,4.0
1,223,3.0
1,1060,4.0
1,2406,4.0
1,296,3.0
1,1270,5.0
1,441,4.0
1,3052,5.0
1,1617,5.0
1,3703,5.0
1,3671,5.0
1,2139,5.0
1,780,3.0
1,1208,4.0
1,1206,5.0
1,1210,5.0
1,1240,5.0
1,3441,5.0
1,1220,5.0
1,2329,5.0
1,2654,5.0
1,2478,4.0
1,457,5.0
1,2387,5.0
1,2018,5.0
1,2115,5.0
1,1396,3.0
1,2571,5.0
2,3578,4.0
2,89774,5.0
2,48516,4.0
2,68157,4.5
2,109487,3.0
2,77455,3.0
3,1587,4.5
3,1275,3.5
3,5764,4.5
3,7899,4.5
3,1263,0.5
3,70946,5.0
3,1272,0.5
3,3949,0.5
4,2571,1.0
4,2959,2.0
4,2973,2.0
4,538,5.0
4,1304,3.0
4,1250,5.0
4,1733,5.0
4,1057,3.0
4,1907,3.0
4,3481,2.0
4,2628,1.0
4,1732,4.0
4,1283,5.0
4,2692,5.0
4,910,5.0
4,4741,3.0
4,2467,4.0
4,1183,1.0
4,1704,1.0
4,2921,4.0
4,1279,2.0
4,593,5.0
4,1196,5.0
4,3897,4.0
4,1282,5.0
4,4226,2.0
4,21,3.0
4,3508,5.0
4,1259,4.0
4,3083,5.0
4,892,4.0
4,2997,4.0
4,2174,5.0
4,4020,3.0
4,1966,2.0
4,2770,2.0
4,235,2.0
4,899,4.0
4,912,5.0
4,4144,3.0
4,2150,5.0
4,368,4.0
4,457,5.0
5,153,3.0
5,247,5.0
5,349,3.0
5,597,3.0
5,534,3.0
5,457,4.0
5,344,3.0
5,318,3.0
5,290,5.0
6,606,3.0
