usuarioId,filmeId,nota
1,3744,4.0
1,2005,5.0
1,1445,3.0
1,1,4.0
1,2115,5.0
1,2899,5.0
1,804,4.0
1,2470,5.0
1,2761,5.0
1,2502,5.0
1,2096,4.0
1,3702,5.0
1,1222,5.0
1,2090,5.0
1,2094,5.0
1,423,3.0
1,3740,4.0
1,1090,4.0
1,3386,5.0
1,3062,4.0
1,2137,5.0
1,2048,5.0
1,2450,4.0
2,3578,4.0
2,58559,4.5
2,131724,5.0
3,7991,5.0
3,26409,4.5
3,849,5.0
3,914,0.5
4,106,4.0
4,3160,4.0
4,176,5.0
4,1199,2.0
4,232,5.0
4,1947,5.0
4,1198,3.0
4,4252,3.0
4,3481,2.0
4,319,5.0
4,509,1.0
4,4021,4.0
4,3911,3.0
4,1266,4.0
4,1283,5.0
4,1080,5.0
4,902,4.0
4,1466,4.0
4,3538,2.0
4,759,3.0
4,3788,3.0
4,2926,5.0
5,296,5.0
5,596,5.0
5,527,5.0
5,357,2.0
6,296,2.0
6,590,5.0
6,288,2.0
6,32,4.0
6,31,3.0
6,342,3.0
6,60,4.0
6,267,3.0
6,191,2.0
6,801,3.0
6,208,3.0
6,5,5.0
6,135,3.0
6,291,3.0
6,667,3.0
6,489,3.0
6,225,4.0
6,256,3.0
6,343,3.0
6,2,4.0
6,276,4.0
6,775,3.0
6,105,3.0
6,257,5.0
6,368,5.0
6,999,2.0
6,100,3.0
6,358,3.0
6,1004,4.0
6,329,4.0
6,248,5.0
7,6534,0.5
7,37741,3.5
7,1183,1.5
7,49824,3.0
7,8865,1.0
7,1270,5.0
7,5991,4.5
7,3916,4.0
7,5445,4.0
7,5459,3.0
7,1246,1.5
7,1196,4.0
7,480,5.0
7,1240,5.0
7,8870,3.5
8,586,3.0
8,432,1.0
8,252,3.0
8,317,3.0
8,153,2.0
9,5481,5.0
9,5893,4.0
9,5872,3.0
9,223,4.0
9,4131,1.0
10,8869,5.0
10,8961,2.5
10,109487,0.5
10,49286,5.0
10,103339,4.0
10,33794,5.0
10,8969,3.5
10,72720,3.5
10,79091,5.0
10,4993,4.0
10,69844,3.0
10,1784,3.5
10,109853,4.0
10,8970,1.0
11,110,5.0
11,1616,3.0
11,480,4.0
11,1597,4.0
11,150,5.0
11,457,5.0
12,830,4.0
12,3967,4.5
12,5620,4.0
13,1590,4.0
13,3513,3.0
13,1173,3.0
14,153,2.0
14,552,3.0
14,508,3.0
14,193,3.0
14,19,1.0
15,2959,2.5
15,4018,4.0
15,84152,5.0
15,2762,3.0
15,60069,3.5
15,152077,5.0
15,97938,4.0
15,6502,3.5
15,91529,2.0
15,1240,4.0
15,122886,5.0
15,1265,3.5
15,3147,5.0
15,2085,1.5
16,1299,4.0
16,2959,3.5
16,4226,4.5
16,3949,4.0
16,608,4.5
16,904,3.5
16,1219,3.0
16,68954,4.0
16,293,4.0
16,541,4.5
17,4571,4.0
17,293,3.5
17,1263,4.0
17,110,4.5
17,3147,4.5
17,2005,4.0
17,2329,4.5
17,1967,4.0
17,150,3.5
17,7099,5.0
18,6874,3.5
18,78499,4.0
18,1086,4.0
18,5459,2.5
18,1954,4.0
18,134130,4.5
18,99813,4.0
18,87232,4.0
18,33004,3.0
18,114066,4.0
18,1,3.5
18,140289,4.0
18,160438,3.0
18,64197,4.5
18,40819,4.0
18,2011,3.5
18,51662,3.5
18,502,2.0
18,74458,4.5
18,177593,4.5
18,1136,4.5
18,68073,4.5
18,117176,4.0
18,4993,4.5
18,110102,3.5
18,1207,4.5
18,122904,3.5
18,157110,4.5
18,1917,3.0
18,924,4.0
18,431,4.0
18,91485,3.5
18,4816,3.0
18,231,2.5
18,8641,2.5
18,5952,3.5
18,106782,3.0
18,5903,3.5
18,27689,2.5
18,104241,3.0
18,8360,3.5
18,5266,3.5
18,134853,3.5
18,1148,4.5
18,2692,3.0
18,112334,4.5
18,162350,3.5
18,6365,3.5
18,541,4.0
18,45722,4.0
19,368,3.0
19,3705,2.0
19,353,5.0
19,1031,2.0
19,1346,2.0
19,708,3.0
19,736,2.0
19,3481,2.0
19,1270,4.0
19,2709,2.0
19,1888,2.0
